Ticket,SCDID_CUSIP,Ticket Status ID,Ticket Status,Ticket Type,Ticket Type Name,Trade Date,Due_Settlement_Date,Model Portfolio,Investment,Investment Amount,Investment Currency,Send to SCD,Funding Amount,Funding Currency,Creator,CreateDate,SourceSystem,LastUpdatedDateTime
"75414","PDI100073","4","Closed","2","Cash Distribution",2017-10-31 00:00:00.000,2017-11-03 00:00:00.000,"MPDI100028","Project Holster 7 (Netback)",9606.38000,"USD","Yes",9606.38000,"USD"," ",2017-11-02 14:44:49.563,NULL,2017-11-02 17:12:41.207
"75415","PDI100028","4","Closed","1","Capital Call",2017-10-31 00:00:00.000,2017-11-03 00:00:00.000,"MPDI100028","Project Holster 8 (Netback)",5250.00000,"USD","Yes",5250.00000,"USD"," ",2017-11-02 14:45:31.350,NULL,2017-11-03 08:46:47.797
"75416","PD1000364","1","Pending approval by {0}","2","Cash Distribution",2017-10-30 00:00:00.000,2017-10-30 00:00:00.000,"MPD2000372","Alltech EUR L+6.75 7/23/2023",230885.42000,"EUR","No",0," ","Bradford, Alexandra",2017-11-02 14:48:23.403,WSO,2017-11-06 10:55:31.783
"75420","IN1000003","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M219999992","Corporate Expenses - Infrastructure",7009.90000,"CAD","Yes",17789.03000,"BRL","Gavadza, Olena",2017-11-02 15:15:05.583,Investran,2017-11-03 15:05:54.973
"75421","FS1000489","3","Approved pending payment {0}","1","Capital Call",2017-11-15 00:00:00.000,2017-11-15 00:00:00.000,"MFS1000489","CITIC Capital China Partners III, L.P.",300082.00000,"USD","Yes",300082.00000,"USD","2017/11/15",2017-11-02 15:37:02.353,Investran,2017-11-05 20:16:08.963
"75422","PD1000419","1","Pending approval by {0}","2","Cash Distribution",2017-10-31 00:00:00.000,2017-11-01 00:00:00.000,"MPD1000419","Home Point Financial-L+7.00%-Sep-22",840656.25000,"USD","No",0," ","Gong, David",2017-11-02 15:51:18.210,WSO,2017-11-06 11:59:14.087
"75423","PR1000153","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000153","Ascot Underwriting",28109.03000,"USD","Yes",36235.35000,"CAD","Gavadza, Olena",2017-11-02 15:51:28.193,Investran,2017-11-03 15:12:11.130
"75424","PR1000121","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000121","Informatica Corporation",7844.67000,"USD","Yes",10112.56000,"CAD","Gavadza, Olena",2017-11-02 15:51:28.747,Investran,2017-11-03 15:12:37.357
"75425","PR1000154","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000154","Glencore Agriculture Limited",12013.30000,"USD","Yes",15486.35000,"CAD","Gavadza, Olena",2017-11-02 15:51:29.177,Investran,2017-11-03 15:12:54.790
"75426","PR1000096","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000096","Agricultural Company of America (PHI Transition)",332.00000,"USD","Yes",427.98000,"CAD","Gavadza, Olena",2017-11-02 15:51:29.520,Investran,2017-11-03 15:13:13.330
